31,2,望京线,9,红领巾桥南,496、657、628、731、740路内环红领巾桥南站公交车站进站口处，在四环路辅路路西侧。,6:02,7:28,11:42,15:42,20130715154140247.JPG;20130715154151122.JPG
32,2,望京线,10,八王坟南,649、715、605、677路八王坟南站公交车站进站口北侧，建外地区社会服务管理中心门前主路上，在路西侧,6:06,7:34,11:48,15:48,20130715154016481.JPG;20130715154027466.JPG;20130715154034919.JPG
33,2,望京线,11,九龙山,广汽本田专卖店南加油站门前马路边上（在路西侧）,6:08,7:39,11:52,15:52,20130715153840106.JPG;20130715153853309.JPG;20130715153905434.JPG
34,2,望京线,12,珠江帝景,加油站入口处在主路路西侧（对面有个北京银行）,6:10,7:41,11:54,15:54,20130715153715731.JPG;20130715153736700.JPG;20130715153745263.JPG
35,2,望京线,13,平乐园,52路总站停车场入口西侧红绿灯下方，背后是朝阳公安分局出入境接待大厅（在主路路北侧）,6:12,7:45,11:56,15:56,20140212144441421.jpg;20140212144450625.jpg;20140212144457578.jpg
36,2,望京线,14,劲松桥南,地铁10号线劲松站D出口南行20米铁栅栏外，在辅路路西侧，背后有个民生银行的ATM取款机,6:15,7:50,12:00,16:00,20130715153338169.JPG;20130715153406919.JPG;20130715153436653.JPG
37,2,望京线,15,十里河桥北,三环主路300路十里河桥北站公交车站车站进站口处在人行过街天桥下，在路西侧。,6:17,7:54,12:02,16:02,20130715153228184.JPG;20130715153241794.JPG;20130715153249513.JPG
38,2,望京线,16,方庄桥东,三环主路300路方庄桥东站公交车站进站口处，在主路路北侧，人行过街天桥下方东侧。,6:19,7:57,12:04,16:04,20130715153133075.JPG
39,2,望京线,17,方庄桥西,三环主路300路方庄桥西站公交车站出站口处，在主路路北侧，人行过街天桥下方西侧。,6:20,7:59,12:06,16:06,20130715153047028.JPG
40,2,望京线,18,刘家窑桥南,599路刘家窑桥南站公交车站进站口处，在主路路西侧（对面是铁营医院红色大楼）,6:24,8:03,12:09,16:09,20130715152922091.JPG;20130715152933325.JPG
41,2,望京线,19,榴乡桥北,599路榴乡桥北站公交车站进站口处，在主路路西侧，等车地点的背后有个京深海鲜旗舰店,6:27,8:05,12:11,16:11,20130715152756559.JPG;20130715152806684.JPG;20130715152816981.JPG
42,2,望京线,20,训练场,东方时尚驾校,6:55,8:55,12:55,16:55,
43,2,望京线,21,返回,东方时尚驾校,9:05,13:05,17:15,19:15/21:05,
44,3,天桥线,1,红桥路口西,元隆丝绸股份有限公司门前路边。（在路北侧）,5:50,7:30,11:30,15:30,20130715162121653.JPG;20130715162126888.JPG
45,3,天桥线,2,金鱼池,6、35、106路金鱼池站，公交车站处（在路北侧）,5:52,7:32,11:32,15:32,20130715162029700.JPG;20130715162034888.JPG
46,3,天桥线,3,天桥,中华影城门前7、106、110路天桥站公交车站处(在路西侧）,5:54,7:36,11:36,15:36,20130715161935591.JPG;20130715161940559.JPG
47,3,天桥线,4,北纬路,836路天桥站公交车站出站口处，正对面是潇湘大厦（在路北侧）,5:56,7:39,11:39,15:39,20130715161842997.JPG;20130715161848825.JPG
48,3,天桥线,5,虎坊路,中央芭蕾舞团门前右侧路边，在太平街上（在路西侧）,5:58,7:42,11:42,15:42,20130715161748700.JPG;20130715161755903.JPG
49,3,天桥线,6,太平街（陶然亭公园东门）,陶然亭公园东门北侧，自行车存车处前（在路西侧）,6:00,7:44,11:44,15:44,20130715161644950.JPG;20130715161651888.JPG
50,3,天桥线,7,四路通,66、603、70路四路通站公交车站出站口处（在路西侧）,6:02,7:48,11:48,15:48,20130715161530716.JPG;20130715161540794.JPG;20130715161549184.JPG
51,3,天桥线,8,马家堡东口,66、698、343路马家堡东口站公交车站出站口处（在路西侧）,6:05,7:53,11:53,15:53,20130715161431559.JPG;20130715161444809.JPG
52,3,天桥线,9,角门北路,中国康复研究中心北京博爱医院正门对面，在路北侧，背后有个鲜花水果店,6:07,7:55,11:55,15:55,20130715161219606.JPG;20130715161231622.JPG;20130715161248747.JPG
53,3,天桥线,10,嘉园二里东门,51、54路嘉园二里东门站，公交车站北侧20米人行过街天桥下（在路西侧),6:09,7:58,11:58,15:58,20130715161123513.JPG;20130715161131747.JPG
54,3,天桥线,11,欣园小区东,501、529路欣园小区东站公交车站处（在路北侧）,6:11,8:01,12:01,16:01,20130715161013513.JPG;20130715161027747.JPG
55,3,天桥线,12,欣园四区,10号线地铁草桥站B出口东侧100米红绿灯东北角，易佰连锁旅店门前路边（在路北侧）,6:13,8:03,12:03,16:03,20130715160926997.JPG
56,3,天桥线,13,玉泉营桥南,381、483、497、529路玉泉营桥南站公交车站出站口处（在路西侧）,6:15,8:05,12:05,16:05,20130715160830575.JPG
57,3,天桥线,14,新发地桥北,410、483、646路新发地桥北站公交车站南侧20米，，新发地酒店用品大厅门前路边（在路西侧）,6:17,8:09,12:09,16:09,20130715160727184.JPG;20130715160740419.JPG
